code,dealerId,name,url,regionId,state,lat,long
03024,03024,Magness Toyota,https://www.magnesstoyota.com,60,AR,36.264529,-93.135271
03066,03066,Toyota of Fayetteville,https://www.toyotaoffayetteville.com,60,AR,36.108448,-94.17794
03073,03073,Steve Landers Toyota NWA,https://www.stevelanderstoyotanwa.com,60,AR,36.331586,-94.18568
17050,17050,Lakeside Toyota,https://www.lakesidetoyota.com,60,LA,30.015884,-90.154269
17067,17067,Ray Brandt Toyota,https://www.raybrandttoyota.com,60,LA,30.007144,-90.233551
17062,17062,Bohn Toyota,https://www.bohntoyota.com,60,LA,29.8741,-90.0851
17058,17058,Toyota of New Orleans,https://www.toyotaofneworleans.com,60,LA,30.053973,-89.947249
17061,17061,Toyota of Slidell,https://www.toyotaofslidell.com,60,LA,30.23967,-89.76556
17066,17066,Northshore Toyota,https://www.northshoretoyota.com,60,LA,30.428625,-90.079251
17071,17071,Supreme Toyota of Hammond,https://www.supremetoyota.com,60,LA,30.48654,-90.482167
17070,17070,Greg Leblanc Toyota,https://www.gregleblanctoyota.com,60,LA,29.60449,-90.751058
17069,17069,Courtesy Toyota,https://www.courtesytoyotaofmorgancity.com,60,LA,29.703244,-91.199813
17014,17014,Price LeBlanc Toyota,https://www.priceleblanctoyota.com,60,LA,30.375531,-91.035155
17055,17055,Team Toyota,https://www.team-toyota.com,60,LA,30.442924,-91.009833
17068,17068,All Star Toyota of Baton Rouge,https://www.allstartoyotaofbatonrouge.com,60,LA,30.441726,-91.088344
17029,17029,Bubba Oustalet Toyota,https://www.oustalettoyota.com,60,LA,30.22216,-92.657185
17076,17076,Karl Malone Toyota of Ruston,https://www.malonetoyotaofruston.com,60,LA,32.541166,-92.626038
17057,17057,John Harvey Toyota,https://www.johnharveytoyota.com,60,LA,32.563132,-93.728687
17023,17023,Yokem Toyota,https://www.yokemtoyota.com,60,LA,32.419428,-93.721138
17027,17027,Van-Trow Toyota,https://www.vantrowtoyota.com,60,LA,32.519925,-92.103619
17074,17074,Toyota of Bastrop,https://www.toyotaofbastrop.com,60,LA,32.775869,-91.881467
17075,17075,Walker Toyota,https://www.walker-toyota.com,60,LA,31.294613,-92.50514
17073,17073,Hixson Toyota,https://www.hixsontoyota.com,60,LA,31.08775,-93.270504
23080,23080,Natchez Toyota,https://www.natcheztoyota.com,60,MS,31.508725,-91.372205
23055,23055,John O'Neil Johnson Toyota,https://www.johnsontoyota.com,60,MS,32.388359,-88.683626
23054,23054,Oxford Toyota,https://www.oxfordtoyota.com,60,MS,34.359899,-89.582949
23057,23057,Kirk Toyota,https://www.kirktoyota.com,60,MS,33.785172,-89.844626
23071,23071,Oakes Toyota,https://www.oakestoyota.com,60,MS,33.370331,-91.040895
23069,23069,Carlock Toyota of Tupelo,https://www.carlocktoyotaoftupelo.com,60,MS,34.320489,-88.69915
23074,23074,Doc's Toyota,https://www.docstoyota.com,60,MS,33.12504,-89.054789
23037,23037,Herrin-Gear Toyota,https://www.herrin-geartoyota.com,60,MS,32.393377,-90.144793
23081,23081,Gray-Daniels Toyota,https://www.gray-danielstoyota.com,60,MS,32.280664,-90.034238
23076,23076,Cannon Toyota,https://www.cannontoyotavicksburg.com,60,MS,32.3234,-90.8682
23035,23035,Toyota of Hattiesburg,https://www.toyotahattiesburg.com,60,MS,31.318057,-89.411102
23062,23062,Kim's Toyota,https://www.kimstoyota.com,60,MS,31.701517,-89.148017
23052,23052,J. Allen Toyota,https://www.jallentoyota.com,60,MS,30.445832,-89.028508
23050,23050,Estabrook Toyota,https://www.estabrooktoyota.com,60,MS,30.433899,-88.526996
23082,23082,Toyota of Brookhaven,https://www.toyotaofbrookhaven.com,60,MS,31.579237,-90.464469
23061,23061,Carl Hogan Toyota,https://www.carlhogantoyota.com,60,MS,33.549657,-88.43428
